Category,Item Name,Item Price,Image URL
Curries,24/7 Dal Makhani,₹249,24_7_dal_makhani.jpg
Curries,Goila Butter Paneer,₹299,goila_butter_paneer.jpg
Curries,Soya Makhani Wala,₹249,soya_makhani_wala.jpg
Curries,Desi Egg Curry,₹249,desi_egg_curry.jpg
Curries,Goila Butter Chicken with Bone,₹349,goila_butter_chicken_with_bone.jpg
Curries,Chicken Tikka Masala,₹359,chicken_tikka_masala.jpg
Curries,Goila Butter Chicken Boneless,₹369,goila_butter_chicken_boneless.jpg
Kebabs,Tandoori Soya Chaap,₹199,tandoori_soya_chaap.jpg
Kebabs,Classic Paneer Tikka,₹289,classic_paneer_tikka.jpg
Kebabs,Murgh Galouti Kebab,₹249,murgh_galouti_kebab.jpg
Kebabs,Classic Chicken Tikka,₹299,classic_chicken_tikka.jpg
Kebabs,Chicken Makhmali Seekh Kebab,₹229,chicken_makhmali_seekh_kebab.jpg
Kebabs,Delhi Tandoori Chicken,₹329,delhi_tandoori_chicken.jpg
Kebabs,Murgh Malai Tikka,₹329,murgh_malai_tikka.jpg
Breads,Tandoori Roti (Plain/Butter),₹39/49,tandoori_roti_plain_butter.jpg
Breads,Naan (Plain/Butter/Garlic),₹69/79/79,naan_plain_butter_garlic.jpg
Breads,Lachha Paratha,₹69,lachha_paratha.jpg
Rice,Steam Rice,₹99,steam_rice.jpg
Rice,Jeera Rice,₹109,jeera_rice.jpg
Rolls,Malai Soya Roll,₹179,malai_soya_roll.jpg
Rolls,Butter Paneer Roll,₹189,butter_paneer_roll.jpg
Rolls,Butter Chicken Roll,₹199,butter_chicken_roll.jpg
Rolls,Malai Chicken Tikka Roll,₹229,malai_chicken_tikka_roll.jpg
Beverages,Butter Milk,₹99,butter_milk.jpg
Beverages,Sweet Lassi,₹99,sweet_lassi.jpg
Beverages,Red Bull / Water Bottle / Soft Beverages,MRP,red_bull_water_bottle_soft_beverages.jpg
Dessert,Gulab Jamun with Rabri,₹199,gulab_jamun_with_rabri.jpg
Meal for Two,Butter Paneer Meal,₹589,butter_paneer_meal.jpg
Meal for Two,Butter Chicken Meal,₹599,butter_chicken_meal.jpg
Kebab & Naan Meal,Soya Tikka Meal,₹199,soya_tikka_meal.jpg
Kebab & Naan Meal,Paneer Tikka Shashlik Meal,₹269,paneer_tikka_shashlik_meal.jpg
Kebab & Naan Meal,Murgh Galouti Meal,₹229,murgh_galouti_meal.jpg
Kebab & Naan Meal,Chicken Tikka Meal,₹269,chicken_tikka_meal.jpg
Kebab & Naan Meal,Chicken Malai Tikka Meal,₹289,chicken_malai_tikka_meal.jpg
GBC Curry Naan Meal,Soya Makhani Wala Meal,₹179,soya_makhani_wala_meal.jpg
GBC Curry Naan Meal,Goila Butter Paneer Meal,₹229,goila_butter_paneer_meal.jpg
GBC Curry Naan Meal,Desi Egg Curry Meal,₹189,desi_egg_curry_meal.jpg
GBC Curry Naan Meal,Chicken Tikka Masala Meal,₹249,chicken_tikka_masala_meal.jpg
GBC Curry Naan Meal,Goila Butter Chicken Meal,₹259,goila_butter_chicken_meal.jpg
GBC Curry Rice Bowl,Dal Makhani Rice Bowl,₹199,dal_makhani_rice_bowl.jpg
GBC Curry Rice Bowl,Butter Paneer Rice Bowl,₹229,butter_paneer_rice_bowl.jpg
GBC Curry Rice Bowl,Desi Egg Curry Rice Bowl,₹199,desi_egg_curry_rice_bowl.jpg
GBC Curry Rice Bowl,Chicken Tikka Masala Rice Bowl,₹249,chicken_tikka_masala_rice_bowl.jpg
GBC Curry Rice Bowl,Goila Butter Chicken Rice Bowl,₹269,goila_butter_chicken_rice_bowl.jpg
