Category,Item Name,Item Price,Image URL
Main Course,Kadhai Paneer,₹275,kadhai_paneer.jpeg
Main Course,Dal Makhani,₹220,dal_makhani.jpeg
Main Course,Rajma Masala,₹190,rajma_masala.jpeg
Main Course,Chole,₹190,chole.jpeg
Main Course,Dal Tadka,₹185,dal_tadka.jpeg
Main Course,Mix Vegetables,₹185,mix_vegetables.jpeg
Breads,Paneer Paratha,₹130,paneer_paratha.jpeg
Breads,Paratha (Aloo/Mix),₹100,paratha_aloo_mix.jpeg
Breads,Naan (Plain/Butter),₹55/60,naan_plain_butter.jpeg
Beverages,Chai (Plain/Ginger/Masala),₹55/60,chai_plain_ginger_masala.jpeg
Beverages,Mint Masala Chaas,₹99,mint_masala_chaas.jpeg
Beverages,Lassi (Sweet/Salted),₹110,lassi_sweet_salted.jpeg
"Thali, Snacks & Indo-Chinese",Executive Thali,,executive_thali.jpeg
"Thali, Snacks & Indo-Chinese",Special Thali,,special_thali.jpeg
"Thali, Snacks & Indo-Chinese",Chole Bhature,₹299,chole_bhature.jpeg
"Thali, Snacks & Indo-Chinese",Puri Bhaji,₹355,puri_bhaji.jpeg
"Thali, Snacks & Indo-Chinese",Veg Noodles,₹189,veg_noodles.jpeg
"Thali, Snacks & Indo-Chinese",Veg Fried Rice,₹175,veg_fried_rice.jpeg
Value Combos & Accompaniments,Chole Rice,₹219,chole_rice.jpeg
Value Combos & Accompaniments,Rajma Rice,₹219,rajma_rice.jpeg
Value Combos & Accompaniments,Dal Makhani with Rice,₹219,dal_makhani_with_rice.jpeg
Value Combos & Accompaniments,Veg Noodles with Manchurian,₹205,veg_noodles_with_manchurian.jpeg
Value Combos & Accompaniments,Green Salad,₹65,green_salad.jpeg
Value Combos & Accompaniments,Raita,₹65,raita.jpeg
"Idli, Vada & More",Medu Vada,₹149,medu_vada.jpeg
"Idli, Vada & More",Rice Idli,₹139,rice_idli.jpeg
"Idli, Vada & More",Onion Utthapam,₹199,onion_utthapam.jpeg
"Idli, Vada & More",Vegetable Utthapam,₹209,vegetable_utthapam.jpeg
"Idli, Vada & More",Sambar Vada,₹169,sambar_vada.jpeg
"Idli, Vada & More",Upma,₹169,upma.jpeg
Special Dosas,Plain Dosa,₹139,plain_dosa.jpeg
Special Dosas,Masala Dosa,₹189,masala_dosa.jpeg
Special Dosas,Butter Masala Dosa,₹209,butter_masala_dosa.jpeg
Special Dosas,Mysore Masala Dosa,₹209,mysore_masala_dosa.jpeg
Special Dosas,Ghee Roast Masala Dosa,₹209,ghee_roast_masala_dosa.jpeg
Special Dosas,Paneer Dosa,₹249,paneer_dosa.jpeg
Tiffin Combo,Tiffin Combo,₹99,tiffin_combo.jpeg
Tiffin Combo,Double Dosa Treat,₹189,double_dosa_treat.jpeg
Desserts,Rawa Kesari,₹99,rawa_kesari.jpeg
Value Combos & Accompaniments,Butter Tawa Roti (Add On),₹50,butter_tawa_roti_add_on.jpeg
Beverages,Filter Coffee - Small,₹85,filter_coffee_small.jpeg
Beverages,Filter Coffee - Regular,₹99,filter_coffee_regular.jpeg
Beverages,Buttermilk,₹85,buttermilk.jpeg
Beverages,Packaged Drinking Water,MRP,packaged_drinking_water.jpeg
