Source Page,Category,Item Name,Description / Inclusions,Dietary Preference,Personal Price (₹),Medium Price (₹),Price (₹),Unit / Format,Serving / Size,Calories / Nutrition / Notes
1,New Launch - Triple Spice,American Nashville,"Triple spice pizza topped with smoky & spicy American Nashville sauce, mushroom, onion and a crust coated with spicy bhut jolokia chilli.",Veg,219,399,,,Per/Med,Toppings: chicken sausage; calorie: 245/251 kcal per 100g (Pan/Thin Crispy)
1,New Launch - Triple Spice,Mexican Mango Habanero,"Triple spice pizza topped with sweet & spicy Mexican mango habanero sauce, spicy jalapeno, green capsicum and a crust coated with spicy bhut jolokia chilli.",Veg,249,449,,,Per/Med,Toppings: herbed chicken; calorie: 243/246 kcal per 100g (Pan/Thin Crispy)
1,New Launch - Triple Spice,Korean Red Chilli,"Triple spice pizza topped with super spicy Korean red chilli sauce, spicy paprika, pepper, tomato and a crust coated with spicy bhut jolokia chilli.",Veg,279,499,,,Per/Med,Toppings: Schezwan meatball; calorie: 237/240 kcal per 100g (Pan/Thin Crispy)
1,New Launch - Triple Spice,Japanese Wasabi,"Triple spice pizza topped with punchy Japanese wasabi drizzle sauce, spicy paprika, green capsicum, onion and a crust coated with spicy bhut jolokia chilli.",Veg,279,499,,,Per/Med,Toppings: chicken meatball; calorie: 245/242 kcal per 100g (Pan/Thin Crispy)
1,Pizza,Create Your Own 3-in-1 Pizza,Choose your toppings/combination from the 3-in-1 pizza option shown.,Veg,279,499,,,Per/Med,Non-veg: ₹369 personal / ₹649 medium
1,Hot Wings,Hot Wings - Mango Habanero,Hot wings with Mango Habanero flavour.,Non-Veg,,,235,,4 pc / 6 pc,182 kcal/100g
1,Hot Wings,Hot Wings - Nashville,Hot wings with Nashville flavour.,Non-Veg,,,235,,4 pc / 6 pc,189 kcal/100g
1,Hot Wings,Hot Wings - Korean,Hot wings with Korean flavour.,Non-Veg,,,235,,4 pc / 6 pc,182 kcal/100g
1,Hot Wings,Hot Wings - Wasabi,Hot wings with Wasabi flavour.,Non-Veg,,,235,,4 pc / 6 pc,193 kcal/100g; 6 pc price shown as ₹339
1,Sides,Hot Fries,Baked fries sprinkled with bhut jolokia chilli seasoning.,Veg,,,129,,,204 kcal/100g
1,Sides,Double Dipper,"Choose any 2 dips: Mango Habanero, Nashville, Korean, Wasabi.",Veg,,,50,,,Dip calories: 44/56/44/63 kcal per 30g respectively
1,Garlic Bread,Spicy Supreme Garlic Bread,Garlic bread with spicy supreme topping.,Veg,,,179,,,346 kcal/100g
1,Garlic Bread,Exotica Veggie Garlic Bread,Garlic bread with exotic veggie topping.,Veg,,,169,,,449 kcal/100g
1,Garlic Bread,Cheese Garlic Bread,Cheese garlic bread.,Veg,,,165,,,363 kcal/100g
1,Garlic Bread,Masala Keema Garlic Bread,Garlic bread with masala keema.,Non-Veg,,,199,,,442 kcal/100g
1,Bread Stix,Loaded Bread Stix,Loaded bread sticks.,Veg,,,169,,,320 kcal/100g
1,Bread Stix,Classic Bread Stix,Classic bread sticks.,Veg,,,109,,,287 kcal/100g
1,Sides,Cheezy Sprinkled Fries,Baked fries with cheezy seasoning.,Veg,,,129,,,213 kcal/100g
1,Sides,Sprinkled Fries,Baked fries with signature Peruvian seasoning.,Veg,,,119,,,204 kcal/100g
1,Sides,Cheesy Pocket (2pc),"Cheesy pocket, 2 pieces.",Veg,,,129,,2 pc,276 kcal/100g
1,Sides,Indi Cheesy Pocket (2pc),"Indi cheesy pocket, 2 pieces.",Veg,,,109,,2 pc,276 kcal/100g
1,Sides,BBQ Baked Chicken Wings,Baked chicken wings with BBQ flavour.,Non-Veg,,,219,,4 pc / 6 pc,Price shown ₹219 / ₹299; 206 kcal/100g
