Category,Item Name,Item Price,Image URL
Celebration Cakes,Biscoff,₹849,biscoff.jpg
Celebration Cakes,Pistachio & Caramel,₹749,pistachio_caramel.jpg
Celebration Cakes,Blueberry Cheesecake,₹749,blueberry_cheesecake.jpg
Celebration Cakes,Red Velvet Fantasy,₹749,red_velvet_fantasy.jpg
Celebration Cakes,Alphonso Mango,₹699,alphonso_mango.jpg
Celebration Cakes,Black Forest,₹699,black_forest.jpg
Celebration Cakes,Chocolate Truffle,₹699,chocolate_truffle.jpg
Celebration Cakes,Cotton Candy,₹699,cotton_candy.jpg
Celebration Cakes,Pineapple,₹699,pineapple.jpg
Cake Toppers,Chocolate Message Toppers - Happy Birthday,₹10 / piece,chocolate_message_toppers_happy_birthday.jpg
Cake Toppers,Chocolate Message Toppers - Happy Anniversary,₹10 / piece,chocolate_message_toppers_happy_anniversary.jpg
Cake Toppers,Chocolate Message Toppers - Congratulations,₹10 / piece,chocolate_message_toppers_congratulations.jpg
Party Candles,Number Candle,₹25 / piece,number_candle.jpg
Party Candles,Heart Candles,₹65 / 4 pieces,heart_candles.jpg
