Category,Item Name,Item Price,Image URL
Biriyani,Veg Hyderabadi Biriyani,₹219,veg_hyderabadi_biriyani.jpg
Biriyani,Paneer Hyderabadi Biriyani,₹279,paneer_hyderabadi_biriyani.jpg
Biriyani,Soya Chaap Biriyani,₹289,soya_chaap_biriyani.jpg
Biriyani,Chicken Boneless Biriyani,₹309,chicken_boneless_biriyani.jpg
Biriyani,Chicken Tikka Biriyani,₹369,chicken_tikka_biriyani.jpg
Kebab,Veg Galouti Kebab,₹199,veg_galouti_kebab.jpg
Kebab,Hara Bhara Kebab,₹199,hara_bhara_kebab.jpg
Kebab,Corn Cheese Stick,₹249,corn_cheese_stick.jpg
Kebab,Dahi Ke Kebab,₹289,dahi_ke_kebab.jpg
Kebab,Paneer 65 with Paratha,₹289,paneer_65_with_paratha.jpg
Kebab,Paneer Tikka,₹309,paneer_tikka.jpg
Kebab,Chicken Giloti Kebab,₹259,chicken_giloti_kebab.jpg
Kebab,Chicken Seekh Kebab,₹259,chicken_seekh_kebab.jpg
Kebab,Chicken Tikka,₹309,chicken_tikka.jpg
Quick Meals,Dal Makhani with Flavoured Rice / 2 Paratha,₹289,dal_makhani_with_flavoured_rice_2_paratha.jpg
Quick Meals,Butter Paneer with Flavoured Rice / 2 Paratha,₹309,butter_paneer_with_flavoured_rice_2_paratha.jpg
Quick Meals,Butter Chicken Boneless with Flavoured Rice / 2 Paratha,₹339,butter_chicken_boneless_with_flavoured_rice_2_paratha.jpg
Quick Meals,Mutton Nihari with Flavoured Rice / 2 Paratha,₹409,mutton_nihari_with_flavoured_rice_2_paratha.jpg
Rolls,Paneer Tikka Roll,₹209,paneer_tikka_roll.jpg
Rolls,Chicken Seekh Roll,₹189,chicken_seekh_roll.jpg
Rolls,Chicken Tikka Roll,₹209,chicken_tikka_roll.jpg
Meal for Two,Veg Biryani + Paneer Tikka Roll + Phirni + Any 2 Beverages,₹589,veg_biryani_paneer_tikka_roll_phirni_any_2_beverages.jpg
Meal for Two,Chicken Boneless Biryani + Chicken Seekh Roll + Phirni + Any 2 Beverages,₹609,chicken_boneless_biryani_chicken_seekh_roll_phirni_any_2_beverages.jpg
Biryani Combos,Veg Biryani + Any 1 Beverage,₹269,veg_biryani_any_1_beverage.jpg
Biryani Combos,Veg Biryani + Veg Galouti,₹279,veg_biryani_veg_galouti.jpg
Biryani Combos,Veg Biryani + Paneer Tikka Roll,₹399,veg_biryani_paneer_tikka_roll.jpg
Biryani Combos,Chicken Boneless Biryani + Any 1 Beverage,₹359,chicken_boneless_biryani_any_1_beverage.jpg
Biryani Combos,Chicken Boneless Biryani + Chicken Galouti,₹359,chicken_boneless_biryani_chicken_galouti.jpg
Biryani Combos,Chicken Boneless Biryani + Chicken Seekh Kebab,₹359,chicken_boneless_biryani_chicken_seekh_kebab.jpg
Biryani Combos,Chicken Boneless Biryani + Chicken Seekh Roll,₹409,chicken_boneless_biryani_chicken_seekh_roll.jpg
Roll Combos,Paneer Tikka Roll + Any 1 Beverage,₹239,paneer_tikka_roll_any_1_beverage.jpg
Roll Combos,Chicken Tikka Roll + Any 1 Beverage,₹239,chicken_tikka_roll_any_1_beverage.jpg
Dessert,Gulab Jamun,₹59,gulab_jamun.jpg
Dessert,Phirni,₹109,phirni.jpg
Beverages,Imli Adraki Lemonade,₹89,imli_adraki_lemonade.jpg
Beverages,Packaged Drinking Water,MRP,packaged_drinking_water.jpg
Beverages,Soft Beverages,MRP,soft_beverages.jpg
Add Ons,Imli Adraki Lemonade,₹69,imli_adraki_lemonade.jpg
Add Ons,Phirni,₹89,phirni.jpg
Extras,Mint Chutney,₹29,mint_chutney.jpg
Extras,Raita,₹59,raita.jpg
Extras,Salan,₹59,salan.jpg
Extras,Paratha,₹69,paratha.jpg
Extras,Rice,₹109,rice.jpg
