Category,Item,Variant,Price
Beverages,Fresh Lime Soda,Sweet / Salted / Plain,99
Beverages,Fresh Lime Juice,Sweet / Salted / Plain,99
Beverages,Aerated Drinks,Tin 300ml/330ml - CocaCola / Thums Up / Sprite,MRP
Beverages,Bottled Water,1 Ltr / 500ml,MRP
Fruit Juice,Watermelon Juice,,99
Fruit Juice,Pineapple Juice,,99
Fruit Juice,Muskmelon Juice,,99
Fruit Juice,Chickoo/Sapota Juice,,99
Fruit Juice,Pink Guava Juice,,99
Fruit Juice,Jamun Juice,,120
Fruit Juice,Alphonso Mango,,120
Fruit Juice,Alphonso Mango Milkshake,,150
Soups,Cream of Tomato,,140
Soups,Sweet Corn Soup,Veg / Chicken,140 / 170
Soups,Hot n Sour Soup,Veg / Chicken,140 / 170
Soups,Coriander Clear Soup,Veg / Chicken,140 / 170
Soups,Manchow Soup,Veg / Chicken,140 / 170
Biriyanis - Authentic,Hyderabadi Chicken Dum Biriyani,Regular / Family Pack,399 / 789
Biriyanis - Authentic,Hyderabadi Mutton Dum Biriyani,Regular / Family Pack,499 / 969
Biriyanis - Authentic,Hyderabadi Chicken Biriyani (Boneless),Regular / Family Pack,419 / 849
Biriyanis - Authentic,Hyderabadi Fish Biriyani,,419
Biriyanis - Authentic,Hyderabadi Prawn Biriyani,,489
Biriyanis - Authentic,Egg Biriyani (Non Veg Rice),,289
Biriyanis - Authentic,Hyderabadi Veg Biriyani,Regular / Family Pack,289 / 549
Biriyanis - Authentic,Hyderabadi Biriyani Rice,,239
Biriyanis - Specials,Chicken Drumstick Special Biriyani,,419
Biriyanis - Specials,Chicken Tikka Biriyani (Boneless),,419
Biriyanis - Specials,Lucknowi Chicken Biriyani (Boneless),,419
Biriyanis - Specials,Lucknowi Mutton Biriyani,,499
Biriyanis - Specials,Hyderabadi Paneer Biriyani,,389
Biriyanis - Specials,Hyderabadi Mushroom Biriyani,,389
Biriyanis - Specials,Soya Chaap Biriyani,,389
Biriyanis - Chef Recommended,Guntur Chicken Biriyani (Boneless),,419
Biriyanis - Chef Recommended,Mutton Keema Biriyani,,489
Starters Non Veg,Chicken Sholay Kebab,,389
Starters Non Veg,Lemon Chicken,,389
Starters Non Veg,Chicken Lollipop,,379
Starters Non Veg,Guntur Chicken Fry,,379
Starters Non Veg,Chilli Chicken (Andhra Style),,379
Starters Non Veg,Chicken Pepper Dry,,379
Starters Non Veg,Honey Chilli Chicken,,379
Starters Non Veg,Mutton Pepper Fry,,479
Starters Non Veg,Mutton Fry,,479
Starters Non Veg,Chilli Chicken (Boneless),,379
Starters Non Veg,Chicken Manchurian,,379
Starters Non Veg,Garlic Chicken,,379
Starters Non Veg,Chicken 65,,379
Starters Non Veg,Chicken Satey,,389
Starters Non Veg,Crunchy Chicken Dry,,389
Starters Non Veg,Dumka Chicken (Semi gravy),,379
Starters Non Veg,Chicken Ghee Roast,,379
Starters Non Veg,Mutton Ghee Roast,,479
Starters Non Veg,Chicken Kebab,,359
