Category,Item Name,Item Price,Image URL
Curries,24/7 Dal Makhani,₹259,24_7_dal_makhani.jpg
Curries,Goila Butter Paneer,₹309,goila_butter_paneer.jpg
Curries,Soya Makhani Wala,₹259,soya_makhani_wala.jpg
Curries,Desi Egg Curry,₹259,desi_egg_curry.jpg
Curries,Goila Butter Chicken with Bone,₹359,goila_butter_chicken_with_bone.jpg
Curries,Chicken Tikka Masala,₹369,chicken_tikka_masala.jpg
Curries,Goila Butter Chicken Boneless,₹379,goila_butter_chicken_boneless.jpg
Kebabs,Tandoori Soya Chaap,₹209,tandoori_soya_chaap.jpg
Kebabs,Classic Paneer Tikka,₹299,classic_paneer_tikka.jpg
Kebabs,Murgh Galouti Kebab,₹259,murgh_galouti_kebab.jpg
Kebabs,Classic Chicken Tikka,₹309,classic_chicken_tikka.jpg
Kebabs,Chicken Makhmali Seekh Kebab,₹239,chicken_makhmali_seekh_kebab.jpg
Kebabs,Delhi Tandoori Chicken,₹339,delhi_tandoori_chicken.jpg
Kebabs,Murgh Malai Tikka,₹339,murgh_malai_tikka.jpg
Breads,Tandoori Roti (Plain/Butter),₹49/59,tandoori_roti_plain_butter.jpg
Breads,Naan (Plain/Butter/Garlic),₹79/89/89,naan_plain_butter_garlic.jpg
Breads,Lachha Paratha,₹79,lachha_paratha.jpg
Rice,Steam Rice,₹109,steam_rice.jpg
Rice,Jeera Rice,₹119,jeera_rice.jpg
Rolls,Malai Soya Roll,₹189,malai_soya_roll.jpg
Rolls,Butter Paneer Roll,₹199,butter_paneer_roll.jpg
Rolls,Butter Chicken Roll,₹209,butter_chicken_roll.jpg
Rolls,Malai Chicken Tikka Roll,₹239,malai_chicken_tikka_roll.jpg
Beverages,Butter Milk,₹109,butter_milk.jpg
Beverages,Sweet Lassi,₹109,sweet_lassi.jpg
Dessert,Gulab Jamun with Rabri,₹209,gulab_jamun_with_rabri.jpg
GBC Curry Rice Bowl,Dal Makhani Rice Bowl,₹209,dal_makhani_rice_bowl.jpg
GBC Curry Rice Bowl,Butter Paneer Rice Bowl,₹239,butter_paneer_rice_bowl.jpg
GBC Curry Rice Bowl,Desi Egg Curry Rice Bowl,₹209,desi_egg_curry_rice_bowl.jpg
GBC Curry Rice Bowl,Chicken Tikka Masala Rice Bowl,₹259,chicken_tikka_masala_rice_bowl.jpg
GBC Curry Rice Bowl,Goila Butter Chicken Rice Bowl,₹279,goila_butter_chicken_rice_bowl.jpg
