Category,Item Name,Item Price,Image URL
Main Course,Kadhai Paneer,₹275,kadhai_paneer.jpg
Main Course,Dal Makhani,₹220,dal_makhani.jpg
Main Course,Rajma Masala,₹190,rajma_masala.jpg
Main Course,Chole,₹190,chole.jpg
Main Course,Dal Tadka,₹185,dal_tadka.jpg
Main Course,Mix Vegetables,₹185,mix_vegetables.jpg
Breads,Paneer Paratha,₹130,paneer_paratha.jpg
Breads,Paratha (Aloo/Mix),₹100,paratha_aloo_mix.jpg
Breads,Naan (Plain/Butter),₹55/60,naan_plain_butter.jpg
Beverages,Chai (Plain/Ginger/Masala),₹55/60,chai_plain_ginger_masala.jpg
Beverages,Mint Masala Chaas,₹99,mint_masala_chaas.jpg
Beverages,Lassi (Sweet/Salted),₹110,lassi_sweet_salted.jpg
"Thali, Snacks & Indo-Chinese",Executive Thali,,executive_thali.jpg
"Thali, Snacks & Indo-Chinese",Special Thali,,special_thali.jpg
"Thali, Snacks & Indo-Chinese",Chole Bhature,₹299,chole_bhature.jpg
"Thali, Snacks & Indo-Chinese",Puri Bhaji,₹355,puri_bhaji.jpg
"Thali, Snacks & Indo-Chinese",Veg Noodles,₹189,veg_noodles.jpg
"Thali, Snacks & Indo-Chinese",Veg Fried Rice,₹175,veg_fried_rice.jpg
Value Combos & Accompaniments,Chole Rice,₹219,chole_rice.jpg
Value Combos & Accompaniments,Rajma Rice,₹219,rajma_rice.jpg
Value Combos & Accompaniments,Dal Makhani with Rice,₹219,dal_makhani_with_rice.jpg
Value Combos & Accompaniments,Veg Noodles with Manchurian,₹205,veg_noodles_with_manchurian.jpg
Value Combos & Accompaniments,Green Salad,₹65,green_salad.jpg
Value Combos & Accompaniments,Raita,₹65,raita.jpg
"Idli, Vada & More",Medu Vada,₹149,medu_vada.jpg
"Idli, Vada & More",Rice Idli,₹139,rice_idli.jpg
"Idli, Vada & More",Onion Utthapam,₹199,onion_utthapam.jpg
"Idli, Vada & More",Vegetable Utthapam,₹209,vegetable_utthapam.jpg
"Idli, Vada & More",Sambar Vada,₹169,sambar_vada.jpg
"Idli, Vada & More",Upma,₹169,upma.jpg
Special Dosas,Plain Dosa,₹139,plain_dosa.jpg
Special Dosas,Masala Dosa,₹189,masala_dosa.jpg
Special Dosas,Butter Masala Dosa,₹209,butter_masala_dosa.jpg
Special Dosas,Mysore Masala Dosa,₹209,mysore_masala_dosa.jpg
Special Dosas,Ghee Roast Masala Dosa,₹209,ghee_roast_masala_dosa.jpg
Special Dosas,Paneer Dosa,₹249,paneer_dosa.jpg
Tiffin Combo,Tiffin Combo,₹99,tiffin_combo.jpg
Tiffin Combo,Double Dosa Treat,₹189,double_dosa_treat.jpg
Desserts,Rawa Kesari,₹99,rawa_kesari.jpg
Value Combos & Accompaniments,Butter Tawa Roti (Add On),₹50,butter_tawa_roti_add_on.jpg
Beverages,Filter Coffee - Small,₹85,filter_coffee_small.jpg
Beverages,Filter Coffee - Regular,₹99,filter_coffee_regular.jpg
Beverages,Buttermilk,₹85,buttermilk.jpg
Beverages,Packaged Drinking Water,MRP,packaged_drinking_water.jpg
