Category,Item Name,Price (₹),Calories (Kcal),Weight (g),Dietary Preference
Veg,Chana Burger,69,-,-,Veg
Veg,Chana Burger & Pepsi,89,-,-,Veg
Veg,Chana Burger Meal,139,-,-,Veg
Veg,Veg Zinger Meal,278,985,635,Veg
Veg,Veg Rice Bowlz & Pepsi Combo,219,560,635,Veg
Veg,Veg Rice Bowlz,179,408,305,Veg
Veg,Veg Longer Meal,188,625,515,Veg
Veg,"Classic Veg Krisper, Fries & Pepsi Combo",188,771,555,Non Veg
Veg,"Spicy Veg Krisper, Fries & Pepsi Combo",188,708,550,Non Veg
Veg,Spicy Veg Krisper - With Cheese,114,472,156,Veg
Veg,Classic Veg Krisper - With Cheese,114,532,156,Veg
Veg,Veg Roll,99,447,145,Veg
Veg,Longer Veg Burger,89,259,110,Veg
Veg,Spicy Veg Krisper,89,436,145,Veg
Veg,Classic Veg Krisper,89,496,145,Veg
Veg,Fries + Pepsi,99.05,-,-,Veg
Double Chicken Dynamite,Double Chicken Dynamite,299,720,250,Non Veg
Double Chicken Dynamite,Double Chicken Dynamite Combo,339,862,580,Non Veg
Double Chicken Dynamite,Double Chicken Dynamite Snack Box,429,1168,670,Non Veg
Double Chicken Dynamite,Double Chicken Dynamite Box Meal,429,1335,720,Non Veg
Shawarma Specials,2 Shawarmas – Saver Deal,249,904,330,Non Veg
Shawarma Specials,2 Shawarma Meals – Value Deal,399,1636,1140,Non Veg
Shawarma Specials,Shawarma,169,-,-,Non Veg
Shawarma Specials,Shawarma & Pepsi Combo,209,-,-,Non Veg
Shawarma Specials,Shawarma Regular Meal,268,-,-,Non Veg
Shawarma Specials,Shawarma Snack Box,299,-,-,Non Veg
Shawarma Specials,Shawarma Box Meal,299,-,-,Non Veg
Shawarma Specials,Shawarma Big Box,329,-,-,Non Veg
Epic Savers,Epic Savers Bucket,499,479,670,Non Veg
Gold Edition,Gold Zinger and Popcorn Meal,339,-,-,Non Veg
Gold Edition,Gold Edition – Chicken Zinger,269,678,250,Non Veg
Gold Edition,Gold Edition – Chicken Zinger & Fries,299,902,325,Non Veg
Gold Edition,"Gold Edition – Chicken Zinger, Fries & Pepsi Meal",368,1044,655,Non Veg
Gold Edition,Gold Edition – 3pc Boneless Strips,209,387,146,Non Veg
Gold Edition,Gold Edition – Regular Fries,129,362,150,Veg
Gold Edition,Gold Edition – Veg Zinger,209,765,250,Veg
Gold Edition,"Gold Edition – Veg Zinger, Fries & Pepsi Meal",308,1131,655,Veg
Box Meals,All Chicken Box Meal,189,-,-,Non Veg
Box Meals,Classic Zinger Box Meal,319,1227,700,Non Veg
Box Meals,Tandoori Zinger Box Meal,329,1500,705,Non Veg
Variety Buckets,Epic Feast Grand Bucket,799,-,-,Non Veg
Variety Buckets,All In One Bucket,549,520,1105,Non Veg
Variety Buckets,Ultimate Savings Bucket,699,-,-,Non Veg
Variety Buckets,Big 12,729,579,910,Non Veg
Variety Buckets,Big 8 With 2 Pepsi Zero Sugar,719.05,608,1490,Non Veg
Variety Buckets,Big 8,579.05,602,670,Non Veg
Chicken Buckets,5 Leg Pc & Pepsi Combo,579,1004,1160,Non Veg
Chicken Buckets,5 Peri Peri Leg Pc,479,748,500,Non Veg
Chicken Buckets,8 Pc Bucket,679,160,880,Non Veg
Chicken Buckets,6pc Hot & Crispy,549,213,660,Non Veg
Chicken Buckets,8 Pc Boneless Meal,399,374,500,Non Veg
Chicken Buckets,5pc Smoky Red With 2 Pepsi,549,569,780,Non Veg
Chicken Buckets,5pc Smoky Red,479,428,450,Non Veg
Burgers,Classic Chicken Krisper,99,405,150,Non Veg
Burgers,Spicy Chicken Krisper,99,342,145,Non Veg
Burgers,Spicy Zinger Burger,199,439,215,Non Veg
Burgers,Spicy Zinger Meal,298,708,550,Non Veg
Burgers,Zinger Pro Burger,239,529,225,Non Veg
Burgers,Zinger Pro Meal,368,895,630,Non Veg
Burgers,Tandoori Zinger Burger,199,902,230,Non Veg
Burgers,Tandoori Zinger Meal,298,1268,635,Non Veg
Burgers,American Classic Zinger Burger,189,971,360,Non Veg
Burgers,American Classic Zinger Meal,278,978,630,Non Veg
Burgers,Paneer Zinger Meal,288,1009,620,Veg
Burgers,"Spicy Chicken Krisper, Popcorn & Pepsi Combo",249,648,235,Non Veg
Burgers,"Classic Chicken Krisper, Popcorn & Pepsi Combo",249,853,570,Non Veg
Burgers,"Classic Chicken Krisper, Fries & Pepsi Combo",198,721,780,Non Veg
Burgers,Chicken Longer Burger,89,356,120,Non Veg
Burgers,Chicken Longer Meal,188,723,525,Non Veg
Burgers,"Spicy Chicken Krisper, Fries & Pepsi Combo",198,708,550,Non Veg
