category,subcategory,item_name,dietary_preference,personal_price_inr,medium_price_inr,price_inr,size_or_variant,description,nutrition,additional_details
New Launch,Triple Spice,American Nashville,Veg,219,399,,Personal/Medium,"Triple spice pizza topped with smoky & spicy American Nashville sauce, mushroom, onion and a crust coated with spicy bhut jolokia chilli.",245 kcal/100g (Pan); 251 kcal/100g (Thin n Crispy),
New Launch,Triple Spice,American Nashville,Non-Veg,299,399,,Personal/Medium,"Triple spice pizza topped with smoky & spicy American Nashville sauce, mushroom, onion and a crust coated with spicy bhut jolokia chilli.",245 kcal/100g (Pan); 251 kcal/100g (Thin n Crispy),Chicken Sausage
New Launch,Triple Spice,Mexican Mango Habanero,Veg,249,449,,Personal/Medium,"Triple spice pizza topped with sweet & spicy Mexican mango habanero sauce, spicy jalapeno, green capsicum and a crust coated with spicy bhut jolokia chilli.",243 kcal/100g (Pan); 251 kcal/100g (Thin n Crispy),
New Launch,Triple Spice,Mexican Mango Habanero,Non-Veg,329,449,,Personal/Medium,"Triple spice pizza topped with sweet & spicy Mexican mango habanero sauce, spicy jalapeno, green capsicum and a crust coated with spicy bhut jolokia chilli.",243 kcal/100g (Pan); 251 kcal/100g (Thin n Crispy),Herbed Chicken
New Launch,Triple Spice,Korean Red Chilli,Veg,279,499,,Personal/Medium,"Triple spice pizza topped with super spicy Korean red chilli sauce, spicy paprika, pepper, tomato and a crust coated with spicy bhut jolokia chilli.",237 kcal/100g (Pan); 240 kcal/100g (Thin n Crispy),
New Launch,Triple Spice,Korean Red Chilli,Non-Veg,369,499,,Personal/Medium,"Triple spice pizza topped with super spicy Korean red chilli sauce, spicy paprika, pepper, tomato and a crust coated with spicy bhut jolokia chilli.",237 kcal/100g (Pan); 240 kcal/100g (Thin n Crispy),Schezwan Meatball
Pizza,Veg,Margherita,Veg,149,329,,Personal/Medium,Classic cheese.,292 kcal/100g (Pan); 293 kcal/100g (Thin n Crispy),
Pizza,Veg,Schezwan Margherita,Veg,185,359,,Personal/Medium,With spicy schezwan sauce.,300 kcal/100g (Pan); 309 kcal/100g (Thin n Crispy),
Pizza,Veg,Double Cheese Margherita,Veg,229,415,,Personal/Medium,Extra cheese on a classic Margherita. The ultimate comfort food!,298 kcal/100g (Pan); 292 kcal/100g (Thin n Crispy),
Pizza,Veg,Corn & Cheese,Veg,229,415,,Personal/Medium,Cheese & sweet corn.,320 kcal/100g (Pan); 304 kcal/100g (Thin n Crispy),
Pizza,Veg,Veggie Feast,Veg,,,,,"Sweet corn, herbed onion, green capsicum.",269 kcal/100g (Pan); 274 kcal/100g (Thin n Crispy),Price shown in menu grouping: included in listed pizza selections
Pizza,Veg,Spiced Paneer,Veg,319,549,,Personal/Medium,"Spiced paneer, onion, tomato.",276 kcal/100g (Pan); 283 kcal/100g (Thin n Crispy),
Pizza,Veg,Mexican Fiesta,Veg,,,,,"Red & green capsicum, jalapeño, onion, black olives, sweet corn.",266 kcal/100g (Pan); 258 kcal/100g (Thin n Crispy),Best Seller
Pizza,Veg,Country Feast,Veg,335,575,,Personal/Medium,"Sweet corn, tomato, herbed onion, green capsicum.",244 kcal/100g (Pan); 282 kcal/100g (Thin n Crispy),
Pizza,Veg,Bold BBQ Veggies,Veg,,,,,"BBQ sauce, mushroom, onion, green capsicum, red paprika.",242 kcal/100g (Pan); 266 kcal/100g (Thin n Crispy),Best Seller
Pizza,Veg,Tandoori Paneer,Veg,369,669,,Personal/Medium,"Spiced paneer, onion, green capsicum, red paprika, tandoori sauce.",335 kcal/100g (Pan); 326 kcal/100g (Thin n Crispy),
Pizza,Veg,Veggie Supreme,Veg,,,,,"Onion, green capsicum, mushroom, red paprika, black olives, sweet corn.",254 kcal/100g (Pan); 258 kcal/100g (Thin n Crispy),Best Seller
Pizza,Veg,Mazedar Makhni Paneer,Veg,425,689,,Personal/Medium,"Spiced paneer, onion, red capsicum, makhni sauce, buttery spice sprinkle.",288 kcal/100g (Pan); 290 kcal/100g (Thin n Crispy),Best Seller
Pizza,Veg,Ultimate Tandoori Veggie,Veg,,,,,"Green capsicum, onion, mushroom, tomato, jalapeño, tandoori sauce, mint mayo.",314 kcal/100g (Pan); 395 kcal/100g (Thin n Crispy),
